term, translatable, anchor
"German", ' in English', https://gramps-project.org/wiki/index.php/Gramps_Glossary/de#
"Deutsch", ' natively', https://gramps-project.org/wiki/index.php/User_manual_translations#Enabled
"Sprachen", '_("Languages")', https://gramps-project.org/wiki/index.php/Portal:Translators
"Aktive Person", '_("Active Person")', active_person
"Erweiterung", '_("Addon")', addon
"Erweiterung", '_("Add-on")', addon
"Adresse", '_("Address")', address
"Verwaltungseinheit", '_("administrative division")', administrative_division
"Hilfe", '_("Aide")', aide
"Hauptperson", '_("Home Person")', home_person
"Kategorie", '_("Category")', category

