term, translatable, anchor
"French", ' in English', https://gramps-project.org/wiki/index.php/Gramps_Glossary/fr#
"français", ' natively', https://gramps-project.org/wiki/index.php/User_manual_translations#fr
"Langues", '_("Languages")', https://gramps-project.org/wiki/index.php/Portal:Translators#fr
"Individu actif", '_("Active Person")', active_person
"Extension", '_("Addon")', addon
"Extension", '_("Add-on")', addon
"Adresse", '_("Address")', address
"Division administrative", '_("administrative division")', administrative_division
"Assistant", '_("Aide")', aide
"Personne Souche", '_("Home Person")', home_person
"Catégorie", '_("Category")', category
