location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,English,,no,language,"language name in english",Gramps_Glossary/en
,endonym,English,,no,language,"language name in native tongue",Gramps_Glossary/en
,language code,en,,no,language,"language code in ISO 639 standard",https://hosted.weblate.org/projects/gramps-project/-/en_GB/
,translators,translators,,yes,language,"lead translator for GUI",Portal:Translators#en_GB
,translations,translations,,yes,language,"status of wiki translation",User_manual_translations#en_GB
,documentation,documentation,,yes,language,"translated wiki page index",Category:Documentation
,Tishrei,Tishrei,,False,calendar,"Hebrew Calendar: first month of the civil year; seventh month of the ecclesiastical year",Hebrew_dates
,Cheshvan,Cheshvan,,False,calendar,"Hebrew Calendar: second month of the civil year; eighth month of the ecclesiastical year",Hebrew_dates
,Kislev,Kislev,,False,calendar,"Hebrew Calendar: third month of the civil year; ninth month of the ecclesiastical year",Hebrew_dates
,Tevet,Tevet,,False,calendar,"Hebrew Calendar: fourth month of the civil year; tenth month of the ecclesiastical year",Hebrew_dates
,Shevat,Shevat,,False,calendar,"Hebrew Calendar: fifth month of the civil year; eleventh month of the ecclesiastical year",Hebrew_dates
,Adar,Adar,,False,calendar,"Hebrew Calendar: sixth month of the civil year; twelfth month of the ecclesiastical year",Hebrew_dates
,Nisan,Nisan,,False,calendar,"Hebrew Calendar: seventh month of the civil year; first month of the ecclesiastical year",Hebrew_dates
,Iyar,Iyar,,False,calendar,"Hebrew Calendar: eighth month of the civil year; second month of the ecclesiastical year",Hebrew_dates
,Sivan,Sivan,,False,calendar,"Hebrew Calendar: ninth month of the civil year; third month of the ecclesiastical year",Hebrew_dates
,Tammuz,Tammuz,,False,calendar,"Hebrew Calendar: tenth month of the civil year; fourth month of the ecclesiastical year",Hebrew_dates
,Av,Av,,False,calendar,"Hebrew Calendar: eleventh month of the civil year; fifth month of the ecclesiastical year",Hebrew_dates
,Elul,Elul,,False,calendar,"Hebrew Calendar: twelfth month of the civil year; sixth month of the ecclesiastical year",Hebrew_dates
,Active Person,Active Person,,yes,terminology,"person designated as the momentary center of focus",Gramps_Glossary#active_person
,Add-on,Add-on,,yes,terminology,"optional third-party expansion plugin installed via the Addon Manager",Gramps_Glossary#addon
,Addon,Addon,,yes,terminology,"optional third-party expansion plugin installed via the Addon Manager",Gramps_Glossary#addon
,Address,Address,,yes,terminology,"a particular location with an associated time frame",Gramps_Glossary#address
,administrative division,administrative division,,yes,terminology,"unit subdividing a geopolitical region into conventional layers",Gramps_Glossary#administrative_division
,Aide,Aide,terminology,yes,,"a term to identify the Event Role as being an assistant",Gramps_Glossary#aide
,analyzing,analysing,,False,,,
,Ancestry,Ancestry,,False,,,
,anglicization,anglicisation,,yes,,"process of making a foreign name into its English variant",Gramps_Glossary#anglicisation
,Association,Association,,yes,terminology,"a role explicitly defining how one person relates to another",Gramps_Glossary#association
,Associations,Associations,,yes,terminology,"roles defining non-biological relationships and shared characteristics among persons",Gramps_Glossary#association
,Attribute,Attribute,,yes,terminology,"a custom record of a permanent characteristic",Gramps_Glossary#attribute
,Attributes,Attributes,,yes,terminology,"Customizable categories for permanent characteristics beyond the predefined set",Gramps_Glossary#attribute
,baptized,baptised,,False,,,
,base relative media path,base relative media path,,False,,,
,Books Report,Books Report,,yes,terminology,"an ordered collation of Gramps textual and graphical reports in a single document",Gramps_Glossary#books_report
,border,border,,False,,,
,Bride,Bride,,yes,,"a term to identify the Marriage Role as being a wife",Gramps_Glossary#bride
,BSDDB,BSDDB,,yes,,"the Berkeley Software Distribution database: an alternative database engine",Gramps_Glossary#bsddb
,bug,bug,,False,,,
,bugs,bugs,,False,,,
,burial,burial,,False,,,
,canceled,cancelled,,False,,,
,canceling,cancelling,,False,,,
,capitalization,capitalisation,,False,,,
,Categories,Categories,,yes,terminology,"Gramps organises each Primary Object into a set of distinctly different descriptive schemas",Gramps_Glossary#category
,Category,Category,,yes,terminology,"a descriptive schema of a database Primary Object",Gramps_Glossary#category
,Celebrant,Celebrant,,yes,,"a term to identify a Role as the person who performs a rite",Gramps_Glossary#celebrant
,center,centre,,False,,,
,centered,centred,,False,,,
,centering,centring,,False,,,
,citation,citation,,False,,,
,Citation,Citation,,yes,terminology,"information that enables locating specific content in source material",Gramps_Glossary#citation
,Citations,Citations,,yes,terminology,"a set of references crediting and locating sources supporting research records",Gramps_Glossary#citation
,Clergy,Clergy,,yes,terminology,"a term to identify a Religious Event Role as being an officiator",Gramps_Glossary#clergy
,Clipboard,Clipboard,,yes,terminology,"shortcut system for sharing secondary objects, navigation, and for custom filter creation",Gramps_Glossary#clipboard
,color,colour,,False,,,
,colored,coloured,,False,,,
,coloring,colouring,,False,,,
