location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,French,,no,language,"Nom de la langue en anglais",Gramps_Glossary/en
,endonym,Français,,no,language,"Nom de la langue dans la langue maternelle",Gramps_Glossary/fr
,language code,fr,,no,language,"Code de la langue selon la norme ISO 639",https://hosted.weblate.org/projects/gramps-project/-/fr/
,translators,Traducteurs,,yes,language,"Traducteur principal pour l'interface graphique",Portal:Translators#fr
,translations,Traductions,,yes,language,"État de la traduction du wiki",User_manual_translations#fr
,documentation,documentation,,yes,language,"Index des pages traduites du wiki",Category:Fr:Documentation
,Tishrei,Tichri,,False,calendar,"Calendrier hébraïque : premier mois de l'année civile; Septième mois de l'année ecclésiastique",Hebrew_dates
,Cheshvan,Heshvan,,False,calendar,"Calendrier hébraïque : deuxième mois de l’année civile ; huitième mois de l’année ecclésiastique",Hebrew_dates
,Kislev,Kislev,,False,calendar,"Calendrier hébraïque : Troisième mois de l'année civile ; neuvième mois de l'année liturgique",Hebrew_dates
,Tevet,Tévet,,False,calendar,"Calendrier hébraïque : Quatrième mois de l'année civile ; dixième mois de l'année liturgique",Hebrew_dates
,Shevat,Chevat,,False,calendar,"Calendrier hébraïque : Cinquième mois de l'année civile ; onzième mois de l'année liturgique",Hebrew_dates
,Adar,Adar,,False,calendar,"Calendrier hébraïque : Sixième mois de l'année civile ; douzième mois de l'année liturgique",Hebrew_dates
,Nisan,Nissan,,False,calendar,"Calendrier hébraïque : Septième mois de l'année civile ; premier mois de l'année liturgique",Hebrew_dates
,Iyar,Iyar,,False,calendar,"Calendrier hébraïque : Huitième mois de l'année civile ; deuxième mois de l'année liturgique",Hebrew_dates
,Sivan,Sivan,,False,calendar,"Calendrier hébraïque : Neuvième mois de l'année civile ; troisième mois de l'année liturgique",Hebrew_dates
,Tammuz,Tammouz,,False,calendar,"Calendrier hébraïque : Dixième mois de l'année civile ; quatrième mois de l'année liturgique",Hebrew_dates
,Av,Av,,False,calendar,"Calendrier hébraïque : Onzième mois de l'année civile ; cinquième mois de l'année liturgique",Hebrew_dates
,Elul,Eloul,,False,calendar,"Calendrier hébraïque : Douzième mois de l'année civile ; sixième mois de l'année liturgique",Hebrew_dates

,Active Person,individu actif,,yes,terminology,"personne désignée comme centre de concentration momentané",Gramps_Glossary/fr#active_person
,Add-on,greffon,,yes,terminology,"Extension tierce optionnelle installée via le gestionnaire d'extensions",Gramps_Glossary/fr#addon
,Addon,greffon,,yes,terminology,"Extension tierce optionnelle installée via le gestionnaire d'extensions",Gramps_Glossary/fr#addon
,Address,Adresse,,yes,terminology,"un lieu précis associé à une période donnée ",Gramps_Glossary/fr#address
,administrative division,division administrative,,yes,terminology,"unité subdivisant une région géopolitique en couches conventionnelles",Gramps_Glossary/fr#administrative_division
,Aide,Aide,,yes,terminology,"un terme désignant le rôle de l'événement comme celui d'assistant",Gramps_Glossary/fr#aide
,ancestor,ascendant,,False,,,
,Ancestry,Ascendance,,False,,,
,anglicization,anglicisation,,yes,,"processus de transformation d'un nom étranger en sa variante anglaise",Gramps_Glossary/fr#anglicisation
,Association,Association,,yes,terminology,"un rôle définissant explicitement la manière dont une personne se rapporte à une autre",Gramps_Glossary/fr#association
,Associations,Associations,,yes,terminology,"rôles définissant les relations non biologiques et les caractéristiques partagées entre les personnes",Gramps_Glossary/fr#association
,Attribute,Attribut,,yes,terminology,"un enregistrement personnalisé d'une caractéristique permanente",Gramps_Glossary/fr#attribute
,Attributes,Attributs,,yes,terminology,"Catégories personnalisables pour les caractéristiques permanentes au-delà de l'ensemble prédéfini",Gramps_Glossary/fr#attribute
,base relative media path,chemin des média relatif à la base,,False,,,
,Books Report,Rapport sur les livres,,yes,terminology,"un recueil ordonné des rapports textuels et graphiques de grand-père dans un seul document",Gramps_Glossary/fr#books_report
,border,bordure,,False,,"Suggested in Weblate: Frontière",
,Bride,Mariée,,yes,,"un terme désignant le rôle de l'épouse dans le mariage",Gramps_Glossary/fr#bride
,BSDDB,BSDDB,,yes,,"the Berkeley Software Distribution database: an alternative database engine",Gramps_Glossary/fr#bsddb
,bug,erreur,,False,,,
,bugs,erreurs,,False,,,
,burial,Inhumation,,False,,,
,call name,prénom usuel,,False,,,
,Categories,Catégories,,yes,terminology,"Gramps organise chaque objet primaire en un ensemble de schémas descriptifs distincts.",Gramps_Glossary/fr#category
,Category,Catégorie,,yes,terminology,"un schéma descriptif d'un objet principal de base de données",Gramps_Glossary/fr#category
,Celebrant,Célébrant,,yes,,"un terme désignant un rôle comme la personne qui accomplit un rite",Gramps_Glossary/fr#celebrant
,Citation,Citation,,yes,terminology,"informations permettant de localiser un contenu spécifique dans le matériel source",Gramps_Glossary/fr#citation
,Citations,Citations,,yes,terminology,"un ensemble de références citant et localisant les sources appuyant les documents de recherche",Gramps_Glossary/fr#citation
,Clergy,Clergé,,yes,terminology,"un terme désignant un rôle lors d'un événement religieux comme celui d'un officiant",Gramps_Glossary/fr#clergy
,Clipboard,presse-papiers,,yes,terminology,"Système de raccourcis pour le partage d'objets secondaires, la navigation et la création de filtres personnalisés",Gramps_Glossary/fr#clipboard
,Color Swatch,Échantillon de couleur,,yes,terminology,"",Gramps_Glossary/fr#color_swatch
,Configure,Configure,,yes,terminology,"Paramètres configurables par l'utilisateur qui personnalisent le comportement du mode d'affichage local",Gramps_Glossary/fr#configure
,Context menu,Menu contextuel,,yes,terminology,"Terme d'interface graphique : menu contextuel d'options appropriées à l'élément sur lequel on a cliqué avec le bouton droit",Gramps_Glossary/fr#context_menu
,CSV,CSV,,yes,,"acronyme de Comma Separated Value, format d'échange de données en texte brut avec délimiteurs",Gramps_Glossary/fr#json
,Custom Filter,Filtre personnalisé,,yes,terminology,"un système de règles permettant d'afficher uniquement les enregistrements correspondant à certains critères",Gramps_Glossary/fr#filter
,custom Types,Types personnalisés,,yes,terminology,"classification définie par l'utilisateur ; par opposition aux classifications prédéfinies",Gramps_Glossary/fr#custom
,Date,Date,,yes,terminology,"période de temps avec une qualité, une précision et des points de fin calendaires spécifiques",Gramps_Glossary/fr#date
,debug,déboguer,,False,,,
,Default,Par défaut,,False,,,
,Default,Par défaut,,False,,,
,Delimiter,Délimiteur,,False,,,
,descendant,descendant,,False,,,
,DNA,DNA,,yes,,"un acronyme pour acide désoxyribonucléique ; les éléments constitutifs de l'information génétique",Gramps_Glossary/fr#dna
,Dock,Quai,,yes,terminology,"Terme d'interface graphique : ajouter un Gramplet à la vue du tableau de bord ou aux conteneurs de barres divisées",Gramps_Glossary/fr#dock
,DTD,DTD,,yes,,"Acronyme de Document Type Definition (Définition de type de document) : format de document standardisé définissant la structure d’un fichier",Gramps_Glossary/fr#dtd
,Edit Family,Modifier la famille,,yes,terminology,"réviser les données structurées décrivant le regroupement des relations de base des personnes étroitement liées",Gramps_Glossary/fr#edit_family
,Edit Person,Modifier la personne,,yes,terminology,"réviser les données structurées décrivant un individu",Gramps_Glossary/fr#edit_person
,Event,Événement,,yes,terminology,"données structurées concernant un événement",Gramps_Glossary/fr#event
,Event Role,Rôle dans l'événement,,yes,terminology,"le rôle qu'une personne joue dans un événement",Gramps_Glossary/fr#event_role
,Events,Évènements,,False,,,
,event type,Rôle dans l'événement,,yes,terminology,"regroupement générique d'événements",Gramps_Glossary/fr#event_type
