location,source,target,id,fuzzy,context,translator_comments,developer_comments
,EnglishExonym,Hebrew,,no,language,"שם שפה באנגלית",Gramps_Glossary/en
,endonym,עברית,,no,language,"שם השפה בשפת האם",Gramps_Glossary/he
,language code,en,,no,language," מתרגם ראשי עבור ממשק משתמש גרפי ",https://hosted.weblate.org/projects/gramps-project/-/he/
,translators,מתרגמים,,yes,language,"סטטוס תרגום ויקי",Portal:Translators#he
,translations,תרגומים,,yes,language,"אינדקס דף ויקי מתורגם",User_manual_translations#he
,documentation,תיעוד,,yes,language,"אינדקס דפי ויקי מתורגמים",Category:He:Documentation
,Tishrei,תִּשְׁרֵי,,False,calendar,"לוח שנה עברי: החודש הראשון של השנה האזרחית; החודש השביעי של השנה הכנסייתית",Hebrew_dates
,Cheshvan,חֶשְׁוָן,,False,calendar,"לוח שנה עברי: החודש השני של השנה האזרחית; החודש השמיני של השנה הכנסייתית",Hebrew_dates
,Kislev,כִּסְלֵו,,False,calendar,"לוח שנה עברי: החודש השלישי של השנה האזרחית; החודש התשיעי של השנה הכנסייתית",Hebrew_dates
,Tevet,טֵבֵת,,False,calendar,"לוח שנה עברי: החודש הרביעי של השנה האזרחית; החודש העשירי של השנה הכנסייתית",Hebrew_dates
,Shevat,שְׁבָט,,False,calendar,"לוח שנה עברי: החודש החמישי בשנה האזרחית; החודש האחד עשר בשנה הכנסייתית",Hebrew_dates
,Adar,אֲדָר,,False,calendar,"לוח שנה עברי: החודש השישי של השנה האזרחית; החודש השנים עשר של השנה הכנסייתית",Hebrew_dates
,Nisan,נִיסָן,,False,calendar,"לוח שנה עברי: החודש השביעי של השנה האזרחית; החודש הראשון של השנה הכנסייתית",Hebrew_dates
,Iyar,אִיָּר,,False,calendar,"לוח שנה עברי: החודש השמיני בשנה האזרחית; החודש השני בשנה הכנסייתית",Hebrew_dates
,Sivan,סִיוָן,,False,calendar,"לוח שנה עברי: החודש התשיעי של השנה האזרחית; החודש השלישי של השנה הכנסייתית",Hebrew_dates
